Model,MSO2012,,,
Firmware Version,1.06,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.0032,,,
Filter Frequency,1.00E+08,,,
Record Length,6242,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-8.94E+00,0.00399999,0.02,0,0.4
-8.94E+00,0.00399999,-0.00400001,0,-0.2
-8.93E+00,0.00399999,0.012,0,0.2
-8.93E+00,0.00399999,-0.00400001,0,-0.2
-8.93E+00,0.00399999,0.02,0,0.4
-8.93E+00,0.00399999,-0.00400001,0,-0.2
-8.92E+00,0.00399999,0.02,0,0.4
-8.92E+00,0.00399999,-0.00400001,0,-0.2
-8.92E+00,0.00399999,0.012,0.2,0.4
-8.91E+00,0.00399999,-0.00400001,0,-0.2
-8.91E+00,0.00399999,0.02,0,0.4
-8.91E+00,0.00399999,-0.00400001,0,-0.2
-8.90E+00,0.00399999,0.02,0,0.4
-8.90E+00,0.00399999,-0.00400001,0,-0.2
-8.90E+00,0.00399999,0.02,0,0.4
-8.89E+00,0.00399999,-0.00400001,0,-0.2
-8.89E+00,0.00399999,0.012,0,0.4
-8.89E+00,0.00399999,-0.00400001,0,-0.2
-8.88E+00,0.00399999,0.012,0,0.4
-8.88E+00,0.00399999,-0.00400001,0,-0.2
-8.88E+00,0.00399999,0.02,0,0.4
-8.87E+00,0.00399999,-0.012,0,-0.2
-8.87E+00,0.00399999,0.02,0,0.4
-8.87E+00,0.00399999,-0.00400001,0,-0.2
-8.86E+00,0.00399999,0.02,0,0.4
-8.86E+00,0.00399999,-0.00400001,0,-0.2
-8.86E+00,0.00399999,0.012,0,0.4
-8.85E+00,0.00399999,-0.012,0,-0.2
-8.85E+00,0.00399999,0.02,0,0.4
-8.85E+00,0.00399999,-0.00400001,0,-0.2
-8.85E+00,0.00399999,0.02,0,0.4
-8.84E+00,0.00399999,-0.00400001,0,-0.2
-8.84E+00,0.00399999,0.02,0,0.4
-8.84E+00,0.00399999,-0.012,0,-0.2
-8.83E+00,0.00399999,0.012,0,0.4
-8.83E+00,0.00399999,-0.00400001,0,-0.2
-8.83E+00,0.00399999,0.012,0,0.4
-8.82E+00,0.00399999,-0.00400001,0,-0.2
-8.82E+00,0.00399999,0.02,0,0.4
-8.82E+00,0.00399999,-0.00400001,0,-0.2
-8.81E+00,0.00399999,0.012,0,0.4
-8.81E+00,0.00399999,-0.012,0,-0.2
-8.81E+00,0.00399999,0.02,0,0.4
-8.80E+00,0.00399999,-0.00400001,0,-0.2
-8.80E+00,0.00399999,0.02,0,0.4
-8.80E+00,0.00399999,-0.00400001,0,-0.2
-8.79E+00,0.00399999,0.012,0,0.4
